Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
,05,47,44.2,0.0,36,06.3,0.0,137,17.3,0.1,11,0,0.1V,,,"(4,141)",NORTHERN GIFU PREF
,05,48,50.5,0.0,37,43.8,0.2,139,54.9,0.2,8,1,0.3v,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,05,49,56.3,0.1,26,43.3,0.2,128,10.6,0.4,28,1,1.2V,,,"(7,294)",NEAR OKINAWAJIMA ISLAND
,05,50,23.9,0.2,36,24.3,0.4,141,10.7,1.1,46,2,1.9V,,,"(3,111)",E OFF IBARAKI PREF
,05,56,19.1,0.1,37,07.9,0.2,140,56.5,0.5,42,1,1.4V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,05,56,33.4,0.1,45,23.7,2.2,142,47.4,4.1,75,,2.0v,,,"(1, 22)",NE OFF HOKKAIDO
,05,57,03.3,0.2,36,54.4,0.5,141,22.9,1.2,44,2,3.5V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,05,58,36.9,0.1,36,06.3,0.2,139,58.3,0.3,66,1,2.4V,,,"(3, 88)",SW IBARAKI PREF
,05,58,46.9,0.0,33,01.4,0.0,130,43.5,0.1,11,0,1.4V,,,"(7,269)",NW KUMAMOTO PREF
,06,01,45.5,0.1,42,51.0,0.4,145,03.9,0.5,52,1,2.3V,,,"(1, 27)",OFF NEMURO PENINSULA
,06,02,38.4,0.0,31,58.5,0.0,131,00.9,0.2,7,1,0.5v,,,"(7,277)",SOUTHERN MIYAZAKI PREF
,06,03,35.0,0.1,36,05.1,0.4,140,58.7,0.8,38,2,1.6V,,,"(3,111)",E OFF IBARAKI PREF
,06,05,00.4,0.1,36,19.7,0.2,141,00.4,0.7,46,1,3.1V,,,"(3,111)",E OFF IBARAKI PREF
,06,11,20.3,0.3,37,21.9,0.8,143,43.9,1.7,50,,3.3V,,,"(8,327)",FAR E OFF NORTH HONSHU
